"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
676917,"Cavalli, Cade",169,0.46153846153846156,0.5384615384615384,0.24260355029585798,0.2603550295857988,0.03550295857988166,0.38461538461538464,0.33136094674556216,0.28402366863905326,0.24260355029585798,0.17159763313609466,0.047337278106508875,0.14201183431952666,0.1597633136094675,0.2366863905325444
681402,"Varland, Gus",69,0.30434782608695654,0.6956521739130435,0.2463768115942029,0.36231884057971014,0.08695652173913043,0.5072463768115942,0.21739130434782608,0.2753623188405797,0.21739130434782608,0.057971014492753624,0.028985507246376812,0.2898550724637682,0.15942028985507245,0.2463768115942029
625643,"López, Reynaldo",101,0.3564356435643564,0.6435643564356435,0.2871287128712871,0.2871287128712871,0.06930693069306931,0.40594059405940597,0.3069306930693069,0.2871287128712871,0.16831683168316833,0.1188118811881188,0.06930693069306931,0.23762376237623764,0.18811881188118812,0.2178217821782178
656492,"Griffin, Foster",188,0.4308510638297872,0.5691489361702128,0.2925531914893617,0.2074468085106383,0.06914893617021277,0.43617021276595747,0.39893617021276595,0.16489361702127658,0.20212765957446807,0.18617021276595744,0.0425531914893617,0.2340425531914894,0.2127659574468085,0.12234042553191488
800311,"Fuentes, Didier",54,0.3888888888888889,0.611111111111111,0.3148148148148148,0.2222222222222222,0.07407407407407407,0.2777777777777778,0.37037037037037035,0.35185185185185186,0.2037037037037037,0.12962962962962962,0.05555555555555555,0.0740740740740741,0.24074074074074073,0.2962962962962963
680755,"Fisher, Braydon",76,0.4605263157894737,0.5394736842105263,0.2631578947368421,0.21052631578947367,0.06578947368421052,0.5657894736842105,0.27631578947368424,0.15789473684210525,0.3026315789473684,0.11842105263157894,0.039473684210526314,0.2631578947368421,0.1578947368421053,0.11842105263157894
693686,"Miles, Spencer",92,0.5543478260869565,0.4456521739130435,0.1956521739130435,0.1956521739130435,0.05434782608695652,0.391304347826087,0.29347826086956524,0.31521739130434784,0.2608695652173913,0.17391304347826086,0.11956521739130435,0.13043478260869568,0.11956521739130438,0.1956521739130435
656546,"Hoffman, Jeff",65,0.4461538461538462,0.5538461538461539,0.16923076923076924,0.2923076923076923,0.09230769230769231,0.4153846153846154,0.4,0.18461538461538463,0.12307692307692308,0.24615384615384617,0.07692307692307693,0.2923076923076923,0.15384615384615385,0.1076923076923077
801139,"Tolle, Payton",103,0.33980582524271846,0.6601941747572815,0.3106796116504854,0.20388349514563106,0.14563106796116504,0.3883495145631068,0.2912621359223301,0.32038834951456313,0.17475728155339806,0.1262135922330097,0.038834951456310676,0.21359223300970873,0.16504854368932037,0.28155339805825247
571578,"Corbin, Patrick",157,0.42038216560509556,0.5796178343949044,0.2229299363057325,0.2802547770700637,0.07643312101910828,0.39490445859872614,0.42038216560509556,0.18471337579617833,0.21019108280254778,0.17834394904458598,0.03184713375796178,0.18471337579617836,0.24203821656050958,0.15286624203821655
656302,"Cease, Dylan",137,0.4744525547445255,0.5255474452554745,0.18248175182481752,0.24817518248175183,0.0948905109489051,0.4233576642335766,0.36496350364963503,0.2116788321167883,0.21897810218978103,0.18248175182481752,0.072992700729927,0.2043795620437956,0.18248175182481752,0.1386861313868613
592332,"Gausman, Kevin",201,0.4129353233830846,0.5870646766169154,0.23383084577114427,0.2537313432835821,0.09950248756218906,0.39303482587064675,0.35323383084577115,0.2537313432835821,0.20398009950248755,0.15920398009950248,0.04975124378109453,0.1890547263681592,0.19402985074626866,0.20398009950248758
670036,"Festa, Matt",71,0.28169014084507044,0.7183098591549296,0.323943661971831,0.23943661971830985,0.15492957746478872,0.4647887323943662,0.29577464788732394,0.23943661971830985,0.15492957746478872,0.09859154929577464,0.028169014084507043,0.3098591549295775,0.1971830985915493,0.2112676056338028
688883,"Pallette, Peyton",56,0.35714285714285715,0.6428571428571428,0.17857142857142858,0.32142857142857145,0.14285714285714285,0.375,0.30357142857142855,0.32142857142857145,0.16071428571428573,0.125,0.07142857142857142,0.21428571428571427,0.17857142857142855,0.25
453286,"Scherzer, Max",65,0.27692307692307694,0.7230769230769232,0.2923076923076923,0.24615384615384617,0.18461538461538463,0.49230769230769234,0.3384615384615385,0.16923076923076924,0.12307692307692308,0.13846153846153847,0.015384615384615385,0.36923076923076925,0.2,0.15384615384615385
668909,"Williams, Gavin",183,0.4644808743169399,0.53551912568306,0.22950819672131148,0.24043715846994534,0.06557377049180328,0.4262295081967213,0.3442622950819672,0.22950819672131148,0.2677595628415301,0.18579234972677597,0.01092896174863388,0.1584699453551912,0.15846994535519124,0.2185792349726776
670280,"Bednar, David",67,0.5970149253731343,0.40298507462686567,0.16417910447761194,0.14925373134328357,0.08955223880597014,0.5223880597014925,0.3582089552238806,0.11940298507462686,0.3283582089552239,0.22388059701492538,0.04477611940298507,0.1940298507462686,0.1343283582089552,0.07462686567164178
518585,"Cruz, Fernando",53,0.3584905660377358,0.6415094339622641,0.39622641509433965,0.1320754716981132,0.11320754716981132,0.41509433962264153,0.37735849056603776,0.20754716981132076,0.20754716981132076,0.11320754716981132,0.03773584905660377,0.20754716981132076,0.26415094339622647,0.169811320754717
656234,"Bird, Jake",51,0.49019607843137253,0.5098039215686275,0.17647058823529413,0.21568627450980393,0.11764705882352941,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.23529411764705882,0.19607843137254902,0.058823529411764705,0.23529411764705882,0.15686274509803924,0.11764705882352942
668390,"Winn, Cole",58,0.27586206896551724,0.7241379310344828,0.3620689655172414,0.3275862068965517,0.034482758620689655,0.41379310344827586,0.3275862068965517,0.25862068965517243,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.27586206896551724,0.22413793103448276,0.22413793103448276
622663,"Severino, Luis",173,0.4508670520231214,0.5491329479768785,0.2658959537572254,0.23699421965317918,0.046242774566473986,0.36416184971098264,0.41040462427745666,0.2254335260115607,0.23699421965317918,0.1907514450867052,0.023121387283236993,0.12716763005780346,0.21965317919075147,0.2023121387283237
686993,"Sterner, Justin",81,0.49382716049382713,0.5061728395061729,0.3333333333333333,0.14814814814814814,0.024691358024691357,0.38271604938271603,0.4074074074074074,0.20987654320987653,0.24691358024691357,0.18518518518518517,0.06172839506172839,0.13580246913580246,0.2222222222222222,0.14814814814814814
669022,"Gore, MacKenzie",163,0.3619631901840491,0.638036809815951,0.26993865030674846,0.294478527607362,0.0736196319018405,0.4110429447852761,0.3312883435582822,0.25766871165644173,0.19631901840490798,0.1165644171779141,0.049079754601226995,0.2147239263803681,0.21472392638036808,0.20858895705521474
669372,"Ginn, J.T.",160,0.48125,0.5187499999999999,0.21875,0.225,0.075,0.39375,0.40625,0.2,0.225,0.20625,0.05,0.16874999999999998,0.2,0.15000000000000002
664875,"Lawrence, Justin",65,0.4307692307692308,0.5692307692307692,0.2153846153846154,0.27692307692307694,0.07692307692307693,0.4,0.35384615384615387,0.24615384615384617,0.2,0.2,0.03076923076923077,0.2,0.15384615384615385,0.2153846153846154
642397,"Soto, Gregory",60,0.45,0.5499999999999999,0.26666666666666666,0.11666666666666667,0.16666666666666666,0.36666666666666664,0.3333333333333333,0.3,0.2,0.18333333333333332,0.06666666666666667,0.16666666666666663,0.15,0.23333333333333334
677952,"Ashcraft, Braxton",183,0.48633879781420764,0.5136612021857924,0.2568306010928962,0.17486338797814208,0.08196721311475409,0.3224043715846995,0.40437158469945356,0.273224043715847,0.1912568306010929,0.24043715846994534,0.0546448087431694,0.1311475409836066,0.1639344262295082,0.21857923497267762
669387,"Mlodzinski, Carmen",169,0.4378698224852071,0.5621301775147929,0.1952662721893491,0.2781065088757396,0.08875739644970414,0.40828402366863903,0.3727810650887574,0.21893491124260356,0.22485207100591717,0.17751479289940827,0.03550295857988166,0.18343195266272186,0.19526627218934914,0.1834319526627219
663556,"McClanahan, Shane",132,0.4696969696969697,0.5303030303030303,0.2803030303030303,0.21212121212121213,0.03787878787878788,0.4393939393939394,0.3333333333333333,0.22727272727272727,0.2727272727272727,0.1590909090909091,0.03787878787878788,0.16666666666666669,0.17424242424242423,0.1893939393939394
607455,"Banda, Anthony",72,0.4861111111111111,0.5138888888888888,0.2916666666666667,0.20833333333333334,0.013888888888888888,0.3333333333333333,0.4027777777777778,0.2638888888888889,0.18055555555555555,0.25,0.05555555555555555,0.15277777777777776,0.1527777777777778,0.20833333333333334
623437,"Topa, Justin",68,0.5735294117647058,0.4264705882352941,0.23529411764705882,0.17647058823529413,0.014705882352941176,0.27941176470588236,0.5294117647058824,0.19117647058823528,0.11764705882352941,0.38235294117647056,0.07352941176470588,0.16176470588235295,0.1470588235294118,0.1176470588235294
641329,"Baker, Bryan",56,0.39285714285714285,0.6071428571428572,0.21428571428571427,0.25,0.14285714285714285,0.4107142857142857,0.25,0.3392857142857143,0.21428571428571427,0.125,0.05357142857142857,0.19642857142857142,0.125,0.28571428571428575
669947,"Scholtens, Jesse",120,0.36666666666666664,0.6333333333333333,0.26666666666666666,0.24166666666666667,0.125,0.475,0.325,0.2,0.225,0.125,0.016666666666666666,0.24999999999999997,0.2,0.18333333333333335
671737,"Bradley, Taj",148,0.35135135135135137,0.6486486486486486,0.2905405405405405,0.2702702702702703,0.08783783783783784,0.39864864864864863,0.34459459459459457,0.25675675675675674,0.20945945945945946,0.12162162162162163,0.02027027027027027,0.18918918918918917,0.22297297297297294,0.23648648648648646
656271,"Burke, Brock",73,0.4246575342465753,0.5753424657534246,0.2602739726027397,0.2328767123287671,0.0821917808219178,0.3287671232876712,0.4383561643835616,0.2328767123287671,0.1506849315068493,0.2465753424657534,0.0273972602739726,0.1780821917808219,0.1917808219178082,0.2054794520547945
669923,"Kirby, George",222,0.5225225225225225,0.4774774774774775,0.23873873873873874,0.18468468468468469,0.05405405405405406,0.32432432432432434,0.4144144144144144,0.26126126126126126,0.21621621621621623,0.22972972972972974,0.07657657657657657,0.10810810810810811,0.18468468468468466,0.18468468468468469
677865,"Bruihl, Justin",84,0.4880952380952381,0.5119047619047619,0.14285714285714285,0.30952380952380953,0.05952380952380952,0.3333333333333333,0.40476190476190477,0.2619047619047619,0.17857142857142858,0.2261904761904762,0.08333333333333333,0.15476190476190474,0.17857142857142858,0.1785714285714286
667463,"King, John",58,0.4827586206896552,0.5172413793103448,0.22413793103448276,0.20689655172413793,0.08620689655172414,0.3620689655172414,0.3448275862068966,0.29310344827586204,0.2413793103448276,0.1724137931034483,0.06896551724137931,0.12068965517241378,0.1724137931034483,0.22413793103448273
669199,"Bachar, Lake",72,0.3472222222222222,0.6527777777777778,0.375,0.18055555555555555,0.09722222222222222,0.4861111111111111,0.3333333333333333,0.18055555555555555,0.2361111111111111,0.1111111111111111,0,0.25,0.2222222222222222,0.18055555555555555
