"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
691406,"Caminero, Junior","R","79.842507845",23.184901322698064,6.6587003213336375,-4.7856540095899165,0.5804597701149425,9.67837528332635,37.20725582788881,27.528880544562465,28.88636494298746,348
691023,"Walker, Jordan","R","78.942611612",30.793761266762377,8.613274502274576,-6.014436348128151,0.5642317380352645,5.080541561007318,32.123523547235045,27.042981986227723,31.58210441359423,397
665833,"Cruz, Oneil","L","78.410594623",33.33854288833005,7.728239577512581,-6.281465195272107,0.43552311435523117,6.5972037154356435,34.38453413696045,27.787330421524803,26.53507178759789,411
701762,"Kurtz, Nick","L","77.994608911",37.724927241077914,13.095527064303205,4.57363732722637,0.49367088607594933,0.4873010069126674,23.22908112497862,22.741780118065954,29.25031319325208,395
666176,"Adell, Jo","R","77.334828478",35.154891798072356,10.166171400376912,-5.127560884841983,0.46956521739130436,0.6950372963696946,26.57382919407757,25.878791897707885,26.885249611555658,460
701358,"Smith, Cam","R","77.228624332",34.75743216102741,10.805300586673972,-2.9002974476719467,0.4197860962566845,1.6220921185001305,32.528283977596224,30.90619185909609,32.4031197133699,374
656941,"Schwarber, Kyle","L","77.043553985",29.14661848084528,14.241105766825644,-9.955324507590639,0.6954314720812181,15.057670030212545,35.50943821733063,20.451768187118088,24.956734080690737,394
669003,"Mitchell, Garrett","L","76.846758635",32.08207414130663,10.867456391055368,7.673560065458632,0.6125461254612546,-1.2447963138417133,27.693758691440458,28.93855500528217,29.248950872937655,271
641343,"Bauers, Jake","L","76.79799979",34.50430723479046,10.67354344704503,-1.4035769030578482,0.5104895104895103,-4.846286283647856,28.15037550934657,32.99666179299443,28.000548183404177,286
695506,"Caglianone, Jac","L","76.624608623",29.841454413456272,9.762451847075539,-1.9335669120955181,0.4327868852459017,6.926364260101839,29.401074338692425,22.474710078590583,30.28831940593147,305
677594,"Rodríguez, Julio","R","76.519157974",30.998959029462874,8.016309722921715,-5.698926684437938,0.48491379310344823,12.846734728506355,33.23879087033031,20.392056141823957,30.16715993264143,464
695578,"Wood, James","L","76.451886684",39.162617060666015,12.070554445539086,1.0162301356177117,0.4387755102040817,3.6168452046150676,34.767294679101,31.150449474485917,27.77075799110249,392
665489,"Guerrero Jr., Vladimir","R","76.283687215",28.217534315238336,1.8342275775112271,-3.061522929699219,0.34217506631299743,5.2630411366250955,34.02099231872342,28.757951182098335,28.870553907071226,377
575929,"Contreras, Willson","R","76.22482099",32.76297185700243,10.951018147248739,-7.2129316230813245,0.5052083333333333,6.571889981379693,31.401206414098546,24.829316432718855,27.89265421630912,384
592450,"Judge, Aaron","R","76.117314599",38.500650514639695,12.375420565197565,-5.3583360502713875,0.5182481751824816,4.032849149225937,29.315730265206184,25.282881115980246,33.8781253351238,411
695657,"Montgomery, Colson","L","76.087304902",34.30793050062664,12.513639785600533,-6.897071388869777,0.5147058823529411,3.020234230575239,32.2174252033891,29.197190972813857,28.027956397975966,408
670541,"Alvarez, Yordan","L","76.011814162",36.36779921474216,9.158084655254255,-5.999549536989456,0.4947643979057591,9.35972691884655,36.049224127717196,26.689497208870648,29.153139078673714,382
660670,"Acuña Jr., Ronald","R","76.005824347",38.119603946889484,11.158489608711267,5.116921173541173,0.5440729483282675,0.839428790144794,31.73478654155534,30.895357751410547,25.28697078354604,329
