"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
691406,"Caminero, Junior",348,0.9133858267716536,280,"79.842507845",0.8793103448275861,0.2892857142857143,0.23275862068965517,0.2392857142857143,0.1925287356321839,"8.525942787",4,1.9108960093348424,,NaN,153,0.4396551724137931
691023,"Walker, Jordan",397,0.9043280182232346,286,"78.942611612",0.8513853904282115,0.3041958041958042,0.21914357682619648,0.23076923076923078,0.16624685138539042,"8.279240907",8,10.007372971825243,,NaN,146,0.3677581863979849
665833,"Cruz, Oneil",411,0.9052863436123348,257,"78.410594623",0.7737226277372261,0.3540856031128405,0.22141119221411193,0.25680933852140075,0.16058394160583941,"7.627147178",6,-0.23009175787858105,,NaN,127,0.30900243309002434
701762,"Kurtz, Nick",395,0.9059633027522935,263,"77.994608911",0.7949367088607595,0.2813688212927757,0.18734177215189873,0.23193916349809887,0.15443037974683543,"7.787704633",10,-0.9842310293917089,,NaN,120,0.3037974683544304
666176,"Adell, Jo",460,0.9019607843137255,353,"77.334828478",0.7043478260869565,0.254957507082153,0.1956521739130435,0.1558073654390935,0.11956521739130435,"7.956772913",9,-9.792359907598286,,NaN,158,0.34347826086956523
701358,"Smith, Cam",374,0.9033816425120773,264,"77.228624332",0.7379679144385027,0.2689393939393939,0.18983957219251338,0.1553030303030303,0.10962566844919786,"7.718137406",7,-11.777421301240805,,NaN,126,0.33689839572192515
656941,"Schwarber, Kyle",394,0.8995433789954338,283,"77.043553985",0.7538071065989849,0.2332155477031802,0.16751269035532995,0.1696113074204947,0.1218274111675127,"7.459192563",19,6.88214117057071,,NaN,119,0.3020304568527919
669003,"Mitchell, Garrett",271,0.9003322259136213,172,"76.846758635",0.7601476014760148,0.27325581395348836,0.17343173431734318,0.19767441860465115,0.12546125461254612,"7.236591365",5,-8.607140271773538,,NaN,74,0.2730627306273063
641343,"Bauers, Jake",286,0.9079365079365079,221,"76.79799979",0.7377622377622377,0.37104072398190047,0.2867132867132867,0.22171945701357465,0.17132867132867133,"7.675482587",11,-2.375589733850498,,NaN,122,0.42657342657342656
695506,"Caglianone, Jac",305,0.9050445103857567,210,"76.624608623",0.6885245901639343,0.35714285714285715,0.2459016393442623,0.2571428571428571,0.17704918032786884,"7.916527148",7,-5.184560603809858,,NaN,110,0.36065573770491804
677594,"Rodríguez, Julio",464,0.90625,342,"76.519157974",0.6616379310344828,0.26608187134502925,0.1961206896551724,0.1871345029239766,0.13793103448275862,"7.785946703",7,-0.9863709466939488,,NaN,167,0.3599137931034483
695578,"Wood, James",392,0.8990825688073395,284,"76.451886684",0.6505102040816326,0.3485915492957746,0.25255102040816324,0.23943661971830985,0.17346938775510204,"7.403035867",17,0.7392763638737838,,NaN,135,0.34438775510204084
665489,"Guerrero Jr., Vladimir",377,0.90625,306,"76.283687215",0.6419098143236075,0.3104575163398693,0.2519893899204244,0.18627450980392157,0.15119363395225463,"7.52373504",1,-7.791285079276445,,NaN,171,0.4535809018567639
575929,"Contreras, Willson",384,0.9035294117647059,277,"76.22482099",0.6640624999999999,0.259927797833935,0.1875,0.17689530685920576,0.12760416666666666,"7.882742057",10,2.905927730484316,,NaN,137,0.3567708333333333
592450,"Judge, Aaron",411,0.9032967032967033,286,"76.117314599",0.6447688564476884,0.3181818181818182,0.22141119221411193,0.2097902097902098,0.145985401459854,"8.116783285",12,6.569011158879414,,NaN,130,0.31630170316301703
695657,"Montgomery, Colson",408,0.9006622516556292,266,"76.087304902",0.6299019607843136,0.2631578947368421,0.1715686274509804,0.17669172932330826,0.11519607843137254,"7.826671152",15,-1.7940428689474188,,NaN,135,0.33088235294117646
670541,"Alvarez, Yordan",382,0.9204819277108434,311,"76.011814162",0.6099476439790577,0.3086816720257235,0.2513089005235602,0.21864951768488747,0.17801047120418848,"7.655924005",3,8.613943709485424,,NaN,158,0.41361256544502617
660670,"Acuña Jr., Ronald",329,0.8989071038251366,247,"76.005824347",0.6261398176291793,0.2874493927125506,0.21580547112462006,0.17813765182186234,0.1337386018237082,"7.617482432",12,-9.225435398966045,,NaN,119,0.3617021276595745
656305,"Chapman, Matt",357,0.9107142857142857,273,"75.847484314",0.5882352941176471,0.2271062271062271,0.17366946778711484,0.12454212454212454,0.09523809523809523,"7.310061289",7,-13.132666969195176,,NaN,137,0.38375350140056025
804606,"Griffin, Konnor",353,0.9005102040816326,250,"75.461581898",0.5637393767705381,0.252,0.17847025495750707,0.132,0.09348441926345609,"7.682086997",9,-3.455106867934655,,NaN,123,0.34844192634560905
670042,"Raley, Luke",294,0.901840490797546,170,"75.409197687",0.5748299319727892,0.31176470588235294,0.18027210884353742,0.21176470588235294,0.12244897959183673,"7.333236497",4,1.4095829332432352,,NaN,86,0.2925170068027211
670242,"Wallner, Matt",259,0.9024390243902439,154,"75.397423745",0.5752895752895754,0.22077922077922077,0.13127413127413126,0.12987012987012986,0.07722007722007722,"7.543091776",15,-10.194097732624925,,NaN,64,0.2471042471042471
663586,"Riley, Austin",423,0.9019189765458422,293,"75.391268629",0.541371158392435,0.31399317406143346,0.21749408983451538,0.17064846416382254,0.1182033096926714,"7.548020615",9,-14.743489689981544,,NaN,139,0.32860520094562645
